ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"051 Dromore, Co. Kerry",24839.00,36348.00,8.30,7.30,11.90,21.10,4.00,23.50,23.90,6.90
"052 Glanlee, Co. Kerry",NA,NA,17.00,15.10,9.80,2.10,18.60,20.10,17.30,6.50
"053 Glanlough, Co. Kerry",NA,NA,19.80,15.40,10.60,12.70,3.60,24.40,13.60,10.00
"054 Glanmore, Co. Kerry",NA,NA,20.60,3.10,12.10,8.60,14.30,22.90,18.50,20.00
"055 Greenane, Co. Kerry",21145.00,51290.00,7.70,12.50,14.70,21.50,9.90,15.50,18.20,9.10
"056 Kenmare, Co. Kerry",19605.00,34338.00,3.90,5.40,10.60,9.50,7.60,32.10,30.90,15.00
"057 Kilgarvan, Co. Kerry",22449.00,38093.00,11.40,12.30,7.40,7.40,9.80,30.40,21.20,7.90
"058 Loughbrin, Co. Kerry",NA,NA,27.90,8.90,12.90,2.60,9.30,19.70,18.80,3.60
"059 Reen, Co. Kerry",NA,NA,11.80,14.60,12.90,2.80,10.80,29.70,17.40,9.30
"060 Sneem, Co. Kerry",NA,NA,8.50,4.50,7.70,8.60,3.50,23.40,43.70,12.30
"061 Tahilla, Co. Kerry",NA,NA,13.10,12.80,13.60,11.70,10.50,14.60,23.70,13.20
"062 Aghadoe, Co. Kerry",28362.00,41873.00,3.90,4.50,6.20,10.30,20.70,28.50,26.00,7.70
"063 Aglish, Co. Kerry",27359.00,27403.00,7.70,4.50,12.70,9.10,15.80,28.80,21.30,7.50
"064 Ballyhar, Co. Kerry",NA,NA,13.90,0.50,11.10,10.30,13.80,27.80,22.60,7.60
"065 Brewsterfield, Co. Kerry",29527.00,47701.00,5.10,5.90,10.60,7.60,12.80,35.00,23.00,6.80
"066 Caragh, Co. Kerry",26877.00,27078.00,4.60,8.70,17.50,10.90,16.40,23.30,18.60,12.50
"067 Churchtown, Co. Kerry",28930.00,44128.00,7.50,6.90,11.10,8.50,15.70,32.90,17.40,10.10
"068 Clydagh, Co. Kerry",NA,NA,12.90,12.50,6.30,1.30,18.40,30.30,18.40,6.00
"069 Coolies, Co. Kerry",28412.00,30384.00,4.30,6.60,8.00,15.00,12.50,29.00,24.50,6.10
"070 Coom, Co. Kerry",26768.00,34199.00,6.90,11.40,16.90,4.40,17.20,25.90,17.40,8.90
"071 Curraghmore, Co. Kerry",32481.00,31862.00,13.90,8.00,9.80,7.50,11.50,32.20,17.10,15.70
"072 Currans, Co. Kerry",NA,NA,18.00,10.40,12.20,6.60,13.50,22.50,16.80,14.40
"073 Doocarrig, Co. Kerry",29311.00,38785.00,11.20,6.80,12.10,10.60,20.30,26.00,12.90,7.30
"074 Dromin, Co. Kerry",33041.00,34144.00,9.40,6.30,20.00,7.50,18.00,23.60,15.30,6.60
"075 Dunloe, Co. Kerry",28826.00,37753.00,4.50,7.00,15.10,9.60,14.60,27.70,21.50,7.60
"076 Flesk, Co. Kerry",32478.00,41661.00,7.70,6.60,8.70,9.00,11.80,40.20,16.00,7.10
"077 Headfort, Co. Kerry",27775.00,42740.00,4.20,9.40,11.30,8.20,20.00,24.50,22.40,8.80
"078 Kilbonane, Co. Kerry",32338.00,42590.00,5.90,8.60,13.90,5.80,21.50,20.40,23.90,6.40
"079 Kilcummin, Co. Kerry",30252.00,45547.00,3.40,5.70,13.00,10.90,15.20,31.90,19.90,7.20
"080 Kilfelim, Co. Kerry",NA,NA,10.80,9.00,6.70,14.90,16.50,27.60,14.50,4.70
"081 Kilgobnet, Co. Kerry",29385.00,34449.00,8.20,7.90,19.40,10.50,19.20,22.40,12.40,10.40
"082 Killarney Rural (Part Urban), Co. Kerry",26579.00,41635.00,1.70,5.10,13.10,7.50,13.30,31.80,27.40,12.60
"083 Killeentierna, Co. Kerry",30699.00,30951.00,7.10,8.90,10.50,10.30,13.70,33.60,15.80,11.30
"084 Killorglin, Co. Kerry",24685.00,32240.00,2.30,6.60,22.10,7.90,15.40,26.10,19.70,15.70
"085 Kilnanare, Co. Kerry",29197.00,24181.00,7.70,6.70,8.00,9.40,15.00,37.10,16.10,10.30
"086 Knocknahoe, Co. Kerry",25000.00,33159.00,7.70,13.90,9.10,4.70,21.20,25.40,18.10,9.30
"087 Lahard, Co. Kerry",32853.00,40551.00,6.90,4.60,8.10,10.70,16.90,35.90,17.00,5.80
"088 Milltown, Co. Kerry",26502.00,41074.00,5.50,6.60,9.90,6.10,17.60,30.60,23.80,13.70
"089 Molahiffe, Co. Kerry",28393.00,32193.00,6.90,6.80,10.80,6.20,12.70,34.90,21.70,11.40
"090 Muckross (Part Urban), Co. Kerry",32797.00,37185.00,4.30,3.40,17.60,8.10,8.80,30.80,27.10,3.90
"091 Rathmore, Co. Kerry",27221.00,37673.00,4.40,4.30,19.50,6.00,19.60,26.70,19.50,8.70
"092 Rockfield, Co. Kerry",23361.00,45744.00,9.80,6.20,12.00,2.40,23.30,24.40,21.90,5.80
"093 Ardagh, Co. Kerry",23819.00,34649.00,9.40,9.70,12.50,10.30,14.50,27.40,16.20,23.90
"094 Astee, Co. Kerry",21717.00,44770.00,12.60,9.10,8.10,11.00,17.70,25.20,16.40,12.70
"095 Ballincloher, Co. Kerry",24329.00,52240.00,6.30,7.00,8.40,9.80,19.00,29.60,19.80,9.40
"096 Ballyconry, Co. Kerry",27318.00,51090.00,10.20,6.40,8.90,14.30,15.10,27.00,18.10,8.10
"097 Ballyduff, Co. Kerry",28181.00,35547.00,7.90,8.00,7.80,12.60,13.70,33.20,16.70,27.00
"098 Ballyegan, Co. Kerry",NA,NA,22.00,14.60,14.10,2.20,13.20,15.40,18.50,17.10
"099 Ballyhorgan, Co. Kerry",29876.00,32653.00,13.60,10.30,7.60,9.90,13.40,29.40,15.70,8.40
"100 Beal, Co. Kerry",27433.00,46567.00,12.80,1.70,9.50,7.80,11.10,41.80,15.20,7.50
"101 Carrig, Co. Kerry",29552.00,36168.00,18.10,3.10,9.60,14.50,19.00,22.60,13.10,14.70
"102 Causeway, Co. Kerry",26570.00,33665.00,9.10,6.20,10.50,9.70,18.70,31.20,14.50,21.80
"103 Cloontubbrid, Co. Kerry",23605.00,46821.00,9.60,5.60,9.00,16.10,19.50,22.80,17.40,12.00
"104 Drommartin, Co. Kerry",30207.00,38774.00,10.00,8.00,10.10,11.40,20.20,25.50,14.70,11.70
"105 Duagh, Co. Kerry",27904.00,39747.00,6.90,8.10,5.90,15.40,25.90,23.50,14.40,16.10
"106 Ennismore, Co. Kerry",24049.00,36871.00,7.00,10.20,8.50,7.60,15.00,32.20,19.60,20.10
"107 Gullane, Co. Kerry",21175.00,38653.00,12.00,11.10,8.80,12.40,13.80,23.00,18.90,14.90
"108 Gunsborough, Co. Kerry",35280.00,40262.00,9.50,8.60,7.50,14.70,15.30,27.90,16.60,18.50
"109 Kilfeighny, Co. Kerry",28665.00,36187.00,8.90,10.90,11.50,11.10,12.70,26.90,18.00,14.30
"110 Killehenny, Co. Kerry",24993.00,41738.00,4.70,8.80,10.80,11.20,8.80,35.00,20.80,21.60
"111 Killury, Co. Kerry",23240.00,34638.00,17.60,7.70,10.00,10.80,16.90,25.60,11.30,13.60
"112 Kilmeany, Co. Kerry",31113.00,35369.00,8.70,8.10,6.70,16.30,12.30,33.00,15.00,18.60
"113 Kilshenane, Co. Kerry",NA,NA,12.90,16.60,10.60,4.40,9.60,31.50,14.50,21.50
"114 Kiltomy, Co. Kerry",26732.00,43628.00,14.30,9.40,10.50,3.30,10.60,30.90,21.00,21.30
"115 Leitrim, Co. Kerry",32176.00,40091.00,7.00,11.70,7.60,9.30,28.40,24.40,11.60,12.00
"116 Lislaughtin, Co. Kerry",23636.00,42003.00,9.80,8.20,7.60,13.30,22.40,24.50,14.30,14.80
"117 Lisselton, Co. Kerry",26004.00,37441.00,12.60,9.90,8.40,17.40,13.60,27.60,10.40,16.30
"118 Listowel Rural, Co. Kerry",29697.00,43169.00,6.00,7.70,10.20,14.30,15.10,30.50,16.20,12.20
"119 Lixnaw, Co. Kerry",22423.00,29783.00,7.40,7.50,8.30,14.50,9.10,30.60,22.60,21.90
"120 Moynsha, Co. Kerry",29301.00,36833.00,8.50,5.80,10.70,10.60,23.20,24.70,16.40,17.30
"121 Newtownsandes, Co. Kerry",26069.00,37536.00,12.20,10.50,8.20,10.10,16.00,24.60,18.50,19.30
"122 Rathea, Co. Kerry",NA,NA,15.60,6.10,7.20,16.80,10.30,26.60,17.30,10.70
"123 Shronowen, Co. Kerry",29094.00,41890.00,14.50,9.50,17.40,3.80,10.70,31.10,13.10,11.10
"124 Tarbert, Co. Kerry",30823.00,39654.00,5.20,9.80,7.10,11.00,32.90,21.30,12.80,14.30
"125 Tarmon, Co. Kerry",28037.00,37998.00,8.30,7.80,7.60,10.40,26.10,29.00,10.80,12.40
"126 Trienearagh, Co. Kerry",26106.00,33034.00,16.60,8.00,7.80,8.50,15.60,26.40,17.10,16.40
"127 Urlee, Co. Kerry",31951.00,54557.00,11.60,7.70,10.10,15.70,12.60,28.10,14.10,12.40
"128 Abbeydorney, Co. Kerry",24595.00,36347.00,9.00,8.00,7.20,6.90,11.40,31.80,25.60,14.10
"129 Arabela, Co. Kerry",30515.00,44569.00,4.20,6.50,9.00,11.70,8.60,36.30,23.70,10.30
"130 Ardfert, Co. Kerry",23955.00,49949.00,4.20,8.60,10.90,8.80,9.30,35.70,22.50,19.80
"131 Ballyegan, Co. Kerry",30597.00,33000.00,7.00,9.80,9.20,10.20,14.80,31.30,17.70,5.70
"132 Ballyheige, Co. Kerry",23620.00,26103.00,8.10,10.40,8.90,10.40,14.80,25.90,21.50,19.00
"133 Ballynahaglish, Co. Kerry",33794.00,53009.00,4.40,5.30,12.00,12.30,10.40,39.50,16.20,8.80
"134 Ballynorig, Co. Kerry",28896.00,45675.00,14.80,5.20,11.50,11.10,12.10,27.90,17.30,7.50
"135 Ballyseedy, Co. Kerry",28236.00,30685.00,2.90,5.20,9.20,8.30,13.40,38.70,22.30,18.50
"136 Banna, Co. Kerry",29351.00,34463.00,8.80,8.70,8.80,10.90,10.60,34.50,17.80,14.80
"137 Baurtregaum, Co. Kerry",NA,NA,3.10,6.80,13.50,12.80,7.10,38.30,18.30,5.00
"138 Blennerville (Part Urban), Co. Kerry",31796.00,43301.00,3.30,6.20,8.40,11.30,12.20,37.10,21.60,9.20
"139 Boolteens, Co. Kerry",29074.00,31340.00,7.60,9.70,10.30,10.70,20.30,21.20,20.10,9.00
"140 Brosna, Co. Kerry",24726.00,36342.00,11.10,8.50,10.00,11.30,12.00,28.20,18.80,15.70
"141 Carker, Co. Kerry",24962.00,33701.00,12.50,9.60,11.30,11.10,12.00,24.60,18.80,13.10
"142 Castleisland, Co. Kerry",25746.00,31920.00,4.50,6.20,14.60,8.10,13.90,28.70,23.90,18.20
"143 Clogherbrien, Co. Kerry",34580.00,44050.00,3.60,5.80,12.90,8.70,10.40,42.50,16.10,6.90
"144 Cordal, Co. Kerry",28490.00,37755.00,9.40,7.40,10.50,9.10,7.80,36.90,18.80,13.30
"145 Crinny, Co. Kerry",26023.00,36452.00,12.90,8.60,12.50,9.50,9.00,30.50,17.00,7.30
"146 Derreen, Co. Kerry",28782.00,40219.00,17.70,16.40,19.60,10.80,9.00,15.70,11.00,7.40
"147 Doon, Co. Kerry",34001.00,48019.00,4.00,5.80,11.90,12.10,11.40,36.80,18.10,7.30
"148 Gneeves, Co. Kerry",24211.00,30065.00,11.80,13.10,13.20,10.60,14.60,20.30,16.30,15.60
"149 Kerryhead, Co. Kerry",26130.00,30421.00,16.60,14.60,8.00,8.60,10.80,24.40,17.00,11.00
"150 Kilflyn, Co. Kerry",NA,NA,8.70,13.60,7.80,14.30,11.40,26.00,18.40,15.50
"151 Kilgarrylander, Co. Kerry",20656.00,23593.00,6.20,15.00,11.80,8.70,8.80,32.60,16.80,11.20
"152 Kilgobban, Co. Kerry",23467.00,30797.00,9.10,8.80,9.30,11.10,11.50,33.80,16.40,12.90
"153 Killahan, Co. Kerry",27036.00,30475.00,10.50,6.40,7.30,11.40,11.50,26.60,26.20,10.00
"154 Kilmurry, Co. Kerry",28717.00,29606.00,11.80,9.60,10.90,9.30,16.10,25.70,16.50,13.00
"155 Kiltallagh, Co. Kerry",27996.00,28469.00,8.00,12.70,10.90,6.40,15.70,27.70,18.50,13.60
"156 Knockglass, Co. Kerry",34050.00,46744.00,5.50,5.30,9.60,10.40,12.40,41.90,14.90,10.70
"157 Knocknagashel, Co. Kerry",25384.00,33261.00,10.80,8.10,11.20,5.10,16.00,29.60,19.10,16.60
"158 Lackabaun, Co. Kerry",27632.00,37212.00,9.90,5.30,8.40,5.00,15.10,35.00,21.20,14.30
"159 Millbrook, Co. Kerry",28533.00,36200.00,15.60,9.00,15.00,8.40,13.30,25.70,13.00,7.50
"160 Mount Eagle, Co. Kerry",NA,NA,12.70,3.00,10.30,9.30,11.90,31.10,21.50,23.10
"161 Nohaval, Co. Kerry",28934.00,35820.00,9.90,6.70,6.60,9.40,12.10,35.80,19.60,12.60
"162 O'Brennan, Co. Kerry",25446.00,40838.00,8.90,5.60,11.50,9.20,12.90,31.90,19.90,13.30
"163 Ratass, Co. Kerry",33562.00,55026.00,3.30,8.80,9.40,11.50,8.90,39.60,18.50,8.30
"164 Scartaglin, Co. Kerry",26990.00,34440.00,9.90,9.60,14.20,7.00,11.60,27.80,19.80,9.10
"165 Tralee Rural (Part Urban), Co. Kerry",27040.00,35009.00,0.70,4.20,12.10,11.90,8.30,39.60,23.10,21.80
"166 Tubrid, Co. Kerry",26812.00,49578.00,12.70,9.80,8.20,8.40,9.20,31.50,20.20,9.80
"001 Abbey A, Limerick City",31148.00,32209.00,0.40,2.30,13.00,12.70,19.00,30.30,22.40,10.70
"002 Abbey B, Limerick City",27170.00,28949.00,0.70,3.50,15.00,10.10,21.00,25.00,24.70,19.50
"003 Abbey C, Limerick City",NA,NA,NA,3.50,18.10,14.80,12.80,14.10,36.80,42.90
"004 Abbey D, Limerick City",24781.00,25927.00,0.20,4.70,12.90,8.50,15.10,27.70,30.80,32.00
"005 Ballinacurra A, Limerick City",38389.00,42091.00,0.60,2.00,14.20,13.70,13.50,36.00,20.00,5.80
"006 Ballinacurra B, Limerick City",28406.00,38421.00,1.50,4.40,12.40,14.20,16.40,32.40,18.80,18.20
"007 Ballynanty, Limerick City",17155.00,17965.00,1.50,4.30,15.80,8.20,14.60,30.40,25.30,43.30
"008 Castle A, Limerick City",31018.00,30425.00,1.40,2.50,14.60,12.80,19.40,31.70,17.70,14.50
"009 Castle B, Limerick City",NA,NA,NA,0.20,19.40,22.60,9.10,31.20,17.40,9.10
"010 Castle C, Limerick City",36999.00,52858.00,NA,4.60,11.60,20.10,11.90,37.60,14.10,5.20
"011 Castle D, Limerick City",41559.00,42376.00,0.60,1.80,19.00,16.70,11.60,35.60,14.70,2.90
"012 Coolraine, Limerick City",34304.00,30298.00,1.00,2.70,17.20,15.40,14.80,29.10,19.90,6.20
"013 Custom House, Limerick City",19238.00,24572.00,NA,4.50,21.90,11.60,13.10,18.30,30.60,41.00
"014 Dock A, Limerick City",19477.00,25964.00,1.70,3.90,23.60,12.40,7.80,19.10,31.50,38.90
"015 Dock B, Limerick City",22411.00,24269.00,2.20,5.20,15.80,16.60,9.80,22.30,28.00,29.60
"016 Dock C, Limerick City",31458.00,27950.00,NA,3.40,9.80,24.40,9.40,33.70,19.40,22.40
"017 Dock D, Limerick City",32877.00,44090.00,1.90,2.60,11.70,17.70,13.40,39.00,13.70,14.90
"018 Farranshone, Limerick City",35134.00,37506.00,NA,3.40,16.20,15.70,14.90,33.80,16.00,6.30
"019 Galvone A, Limerick City",23586.00,28585.00,1.60,4.80,18.20,9.30,14.00,23.50,28.60,28.90
"020 Galvone B, Limerick City",NA,NA,NA,10.10,20.00,12.50,9.20,17.40,30.90,45.50
"021 Glentworth A, Limerick City",NA,NA,NA,1.50,19.00,14.20,15.10,22.00,28.30,37.20
"022 Glentworth B, Limerick City",23000.00,28357.00,0.10,5.70,12.80,12.00,17.70,21.40,30.30,23.00
"023 Glentworth C, Limerick City",NA,NA,NA,7.00,18.10,12.90,16.70,20.90,24.50,40.20
"024 John's A, Limerick City",NA,NA,NA,9.30,16.00,13.80,15.70,24.60,20.60,50.20
"025 John's B, Limerick City",NA,NA,NA,4.00,16.50,7.80,19.00,27.90,24.70,35.60
"026 John's C, Limerick City",20424.00,25385.00,NA,4.60,18.00,13.50,13.60,23.10,27.20,18.10
"027 Killeely A, Limerick City",18313.00,20669.00,0.10,7.40,18.00,6.70,13.40,25.50,28.90,38.20
"028 Killeely B, Limerick City",23239.00,29090.00,0.10,2.70,15.50,9.10,10.90,33.50,28.10,30.30
"029 Market, Limerick City",19794.00,19356.00,1.40,3.40,19.90,8.70,13.10,17.90,35.60,29.60
"030 Prospect A, Limerick City",NA,NA,4.40,5.40,14.60,8.00,11.10,29.90,26.60,37.30
"031 Prospect B, Limerick City",NA,NA,NA,1.30,19.20,16.40,9.30,30.00,23.80,37.60
"032 Rathbane, Limerick City",22498.00,21880.00,NA,5.00,15.50,8.80,17.40,25.10,28.10,37.50
"033 St. Laurence, Limerick City",25818.00,23816.00,0.20,3.60,15.90,8.30,21.90,21.80,28.30,15.40
"034 Shannon A, Limerick City",28250.00,34398.00,1.60,2.40,22.60,17.60,11.60,22.60,21.50,11.00
"035 Shannon B, Limerick City",NA,NA,0.10,0.80,21.10,12.10,12.10,21.80,32.00,40.80
"036 Singland A, Limerick City",22752.00,28692.00,1.70,5.80,11.20,7.60,22.90,20.30,30.60,33.90
"037 Singland B, Limerick City",26742.00,28064.00,0.50,4.00,12.30,10.10,23.90,20.70,28.50,15.60
"065 Limerick North Rural, Limerick City",29786.00,35890.00,0.70,2.80,16.60,12.20,16.40,28.10,23.10,15.10
"001 Abbeyville, Co. Limerick",33223.00,31573.00,6.10,7.00,8.70,8.80,16.80,36.90,15.70,9.20
"002 Adare North, Co. Limerick",33724.00,37219.00,6.30,5.10,9.10,12.30,25.40,21.50,20.30,4.00
"003 Adare South, Co. Limerick",32844.00,39422.00,2.60,3.20,11.60,12.60,15.50,31.30,23.20,6.80
"004 Ballingarry, Co. Limerick",27526.00,34770.00,9.70,7.30,10.80,10.60,17.70,25.40,18.50,14.50
"005 Ballyagran, Co. Limerick",30197.00,40028.00,12.00,4.60,6.80,8.50,16.90,31.70,19.60,9.60
"006 Ballygrennan, Co. Limerick",36397.00,38324.00,13.10,8.30,8.60,10.10,17.80,28.20,14.00,6.60
"007 Ballynabanoge, Co. Limerick",32453.00,45889.00,19.10,5.00,10.20,10.50,10.60,29.20,15.50,9.30
"008 Ballynoe, Co. Limerick",29067.00,44821.00,10.70,9.20,9.10,10.10,17.50,29.60,13.90,8.50
"009 Castletown, Co. Limerick",33051.00,38546.00,14.60,5.20,10.30,12.40,16.10,27.30,14.10,4.00
"010 Coolrus, Co. Limerick",27694.00,33848.00,22.50,8.60,10.30,5.00,13.00,24.40,16.20,10.40
"011 Crean, Co. Limerick",29216.00,32750.00,7.40,4.90,13.80,16.20,17.30,25.50,14.90,4.50
"012 Crecora, Co. Limerick",41875.00,35673.00,5.70,4.60,11.50,13.30,18.80,30.40,15.70,8.30
"013 Croom, Co. Limerick",27541.00,34851.00,7.20,7.30,11.50,12.40,13.30,26.10,22.30,18.40
"014 Dunnaman, Co. Limerick",41632.00,43638.00,8.30,5.60,12.60,14.80,16.70,27.70,14.40,4.80
"015 Fedamore, Co. Limerick",29261.00,30651.00,5.40,5.20,10.10,12.30,21.30,27.00,18.80,16.10
"016 Garrane, Co. Limerick",30485.00,58159.00,7.80,11.40,9.90,13.00,15.10,27.50,15.40,3.90
"017 Grange, Co. Limerick",29488.00,37936.00,5.40,7.30,9.80,8.30,12.70,40.60,15.90,4.40
"018 Kilfinny, Co. Limerick",34986.00,32828.00,10.90,10.60,14.40,7.60,11.40,25.80,19.30,5.40
"019 Kilpeacon, Co. Limerick",39999.00,53886.00,6.20,3.80,12.20,10.80,21.20,35.30,10.50,2.90
"020 Rathmore, Co. Limerick",31038.00,27026.00,11.50,5.90,13.90,8.20,15.90,26.40,18.20,9.20
"021 Fleanmore, Co. Limerick",37619.00,48826.00,10.50,7.10,10.90,7.30,34.20,18.10,11.90,5.10
"022 Glin, Co. Limerick",29768.00,39793.00,6.50,9.40,11.00,5.50,31.60,25.90,10.10,12.10
"023 Kilfergus, Co. Limerick",34612.00,40545.00,6.60,8.60,9.70,6.40,39.20,19.50,10.00,12.70
"024 Kilmoylan, Co. Limerick",25746.00,31363.00,7.60,9.70,11.20,9.20,19.70,26.60,16.00,12.50
"025 Ardpatrick, Co. Limerick",22721.00,34688.00,18.70,5.80,12.20,12.50,13.40,26.00,11.50,7.00
"026 Athlacca, Co. Limerick",30358.00,35880.00,11.20,12.70,9.90,9.30,12.50,27.90,16.50,13.50
"027 Ballymacshaneboy, Co. Limerick",30594.00,37154.00,9.70,8.10,8.00,15.60,16.80,28.50,13.40,10.80
"028 Bruff, Co. Limerick",27920.00,31663.00,5.50,5.30,10.80,11.60,14.60,30.00,22.30,17.60
"029 Bruree, Co. Limerick",28315.00,38139.00,5.90,6.80,10.00,13.70,14.30,31.40,18.00,15.50
"030 Bulgaden, Co. Limerick",25667.00,39988.00,12.30,6.60,10.20,10.40,16.00,29.60,14.90,8.50
"031 Cahercorney, Co. Limerick",33787.00,41534.00,6.10,5.70,8.20,11.90,17.80,30.50,19.80,4.50
"032 Colmanswell, Co. Limerick",29919.00,36274.00,10.00,6.20,10.20,17.40,20.40,17.30,18.50,11.20
"033 Darragh, Co. Limerick",27208.00,34915.00,12.80,7.40,13.70,11.20,16.60,19.80,18.40,6.10
"034 Dromin, Co. Limerick",27143.00,41364.00,13.10,8.70,8.90,10.40,14.50,29.50,15.00,6.70
"035 Emlygrennan, Co. Limerick",26936.00,32267.00,11.50,10.00,9.80,9.90,11.40,29.90,17.50,14.20
"036 Glenbrohane, Co. Limerick",28401.00,41938.00,11.20,3.90,9.40,12.30,16.40,25.80,21.00,13.10
"037 Griston, Co. Limerick",24844.00,34655.00,13.20,5.30,12.50,11.80,17.90,23.00,16.40,5.20
"038 Hospital, Co. Limerick",26320.00,37943.00,5.00,7.70,10.30,10.50,20.30,30.30,15.90,17.10
"039 Kilfinnane, Co. Limerick",22339.00,36351.00,6.40,5.60,11.40,10.70,16.80,29.00,20.10,20.90
"040 Kilflyn, Co. Limerick",27129.00,34266.00,19.70,9.30,10.30,8.50,13.50,23.40,15.30,14.10
"041 Kilmallock, Co. Limerick",24481.00,37888.00,5.70,4.60,12.10,12.70,16.50,29.10,19.30,19.20
"042 Kilteely, Co. Limerick",26834.00,32108.00,11.10,8.80,9.80,8.90,13.40,29.90,18.00,14.50
"043 Knockainy, Co. Limerick",31255.00,35423.00,7.20,7.30,9.60,11.30,16.10,33.80,14.80,9.70
"044 Knocklong, Co. Limerick",25575.00,37254.00,6.50,8.60,15.10,11.60,10.20,31.50,16.40,17.00
"045 Particles, Co. Limerick",33264.00,43178.00,12.40,8.20,11.80,19.20,13.90,18.10,16.30,12.30
"046 Rockhill, Co. Limerick",35794.00,30593.00,18.00,5.20,9.10,10.10,12.90,31.00,13.70,7.80
"047 Tobernea, Co. Limerick",31680.00,47023.00,10.50,5.10,8.30,14.30,19.80,27.10,14.90,11.30
"048 Uregare, Co. Limerick",31714.00,34500.00,12.10,8.10,13.40,16.30,14.40,23.70,12.10,11.80
"049 Abington, Co. Limerick",32394.00,36800.00,2.90,4.90,7.70,11.80,17.60,31.70,23.40,11.80
"050 Ballybricken, Co. Limerick",34382.00,52249.00,5.00,4.30,12.50,15.90,12.40,29.10,20.80,7.60
"051 Ballycummin, Co. Limerick",35013.00,38228.00,0.40,2.80,11.90,12.20,20.30,33.20,19.30,9.60
"052 Ballysimon, Co. Limerick",37982.00,44821.00,0.60,2.00,15.50,15.60,15.90,32.60,17.80,6.30
"053 Ballyvarra, Co. Limerick",37213.00,47896.00,1.70,4.70,13.80,15.10,16.20,32.90,15.60,7.70
"054 Caherconlish East, Co. Limerick",31229.00,41729.00,10.30,6.00,10.00,10.30,13.40,33.30,16.70,4.90
"055 Caherconlish West, Co. Limerick",28833.00,36264.00,4.00,4.80,11.20,11.20,18.40,28.50,21.90,15.30
"056 Caherelly, Co. Limerick",36658.00,33911.00,5.00,10.20,11.80,11.00,21.70,23.00,17.20,8.40
"057 Cappamore, Co. Limerick",27474.00,38568.00,4.40,4.60,9.30,10.80,14.50,37.10,19.40,17.00
"058 Carrig, Co. Limerick",32203.00,46631.00,4.20,6.40,16.10,7.80,23.60,25.70,16.10,5.10
"059 Castleconnell, Co. Limerick",33675.00,42524.00,1.20,4.50,10.70,15.00,18.50,32.80,17.50,10.60
"060 Clarina, Co. Limerick",36779.00,48106.00,3.00,6.10,10.40,9.60,19.90,29.40,21.60,6.90
"061 Clonkeen, Co. Limerick",33798.00,40194.00,3.70,6.60,15.90,8.60,21.70,28.00,15.50,10.10
"062 Doon West, Co. Limerick",26026.00,33199.00,15.50,8.50,9.10,10.60,13.10,25.90,17.20,7.30
"063 Glenstal, Co. Limerick",31941.00,37311.00,4.90,5.70,9.80,10.00,21.70,28.90,19.10,13.40
"064 Kilmurry, Co. Limerick",31181.00,48847.00,7.40,4.60,10.20,11.50,13.50,30.50,22.40,10.80
"066 Limerick South Rural, Co. Limerick",30056.00,34684.00,1.50,4.10,14.40,9.10,22.90,21.80,26.30,15.00
"067 Patrickswell, Co. Limerick",32385.00,44343.00,3.50,4.40,11.30,13.00,18.70,31.70,17.30,14.40
"068 Roxborough, Co. Limerick",39177.00,63020.00,2.80,2.30,15.70,13.10,10.10,40.00,16.00,3.80
"069 Anglesborough, Co. Limerick",29438.00,48382.00,14.80,9.70,15.30,6.00,14.80,24.60,14.90,11.20
"070 Ballylanders, Co. Limerick",19393.00,34001.00,8.10,14.10,12.00,8.70,20.10,20.00,17.00,14.30
"071 Cullane, Co. Limerick",24259.00,33047.00,16.90,8.20,9.60,11.70,13.80,23.40,16.40,11.00
"072 Duntryleague, Co. Limerick",28864.00,34289.00,10.60,8.80,16.10,13.70,11.00,28.40,11.50,11.80
"073 Galbally, Co. Limerick",26077.00,33700.00,9.80,8.30,15.50,9.00,14.30,31.50,11.60,17.80
"074 Kilbeheny, Co. Limerick",20316.00,33854.00,12.90,7.80,10.70,17.50,17.80,17.20,16.20,6.50
"075 Kilglass, Co. Limerick",27496.00,38161.00,10.90,11.80,10.10,7.50,18.20,23.10,18.40,13.50
"076 Knocknascrow, Co. Limerick",29590.00,50208.00,15.20,10.30,14.80,6.10,25.80,13.00,14.80,6.30
"077 Riversdale, Co. Limerick",24853.00,39421.00,15.00,8.60,10.50,3.40,15.00,31.00,16.50,10.50
"078 Abbeyfeale, Co. Limerick",25710.00,33451.00,2.90,9.40,10.30,9.00,26.80,25.50,16.10,24.70
"079 Ardagh, Co. Limerick",29981.00,33042.00,7.10,12.70,7.10,8.40,21.00,26.50,17.20,12.00
"080 Ballintober, Co. Limerick",29785.00,32991.00,12.20,8.90,9.80,6.30,18.70,26.60,17.50,12.10
"081 Ballynoe West, Co. Limerick",26101.00,37663.00,9.20,7.10,9.70,7.30,19.60,30.70,16.40,9.10
"082 Boola, Co. Limerick",30190.00,42640.00,24.00,NA,11.00,6.00,20.40,25.30,13.30,4.70
