ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"051 Finglas North A, Dublin City",25002.00,26138.00,0.70,4.70,16.10,7.90,9.40,31.00,30.20,24.60
"052 Finglas North B, Dublin City",25369.00,25625.00,NA,5.40,16.20,9.30,7.70,30.30,31.00,22.00
"053 Finglas North C, Dublin City",31763.00,34300.00,0.40,3.80,15.60,12.80,8.80,34.70,23.80,12.70
"054 Finglas South A, Dublin City",24045.00,28642.00,NA,6.10,16.50,9.60,9.90,28.60,29.20,24.90
"055 Finglas South B, Dublin City",24876.00,28377.00,0.10,6.00,19.90,12.10,8.00,25.40,28.60,22.40
"056 Finglas South C, Dublin City",22271.00,24899.00,NA,4.80,15.80,7.90,8.00,28.60,34.90,25.90
"057 Finglas South D, Dublin City",26115.00,29822.00,0.20,5.90,17.60,7.50,9.50,31.00,28.40,20.40
"058 Grace Park, Dublin City",41547.00,41325.00,0.20,2.90,21.50,21.20,5.80,32.90,15.40,6.00
"059 Grange A, Dublin City",30316.00,37035.00,0.20,5.00,19.20,17.10,7.60,25.20,25.80,9.90
"060 Grange B, Dublin City",29454.00,35276.00,NA,3.30,22.30,21.40,6.50,22.80,23.70,14.60
"061 Grange C, Dublin City",26867.00,33853.00,0.20,6.00,18.80,14.00,8.30,25.40,27.40,10.50
"062 Grange D, Dublin City",30033.00,40505.00,0.10,3.30,21.50,20.80,4.80,29.80,19.80,10.40
"063 Grange E, Dublin City",30054.00,35847.00,NA,5.60,19.10,14.80,5.90,31.40,23.20,13.20
"064 Harmonstown A, Dublin City",30652.00,33871.00,NA,5.10,19.50,15.90,7.20,29.10,23.10,8.30
"065 Harmonstown B, Dublin City",32433.00,36958.00,0.50,3.40,18.30,18.00,7.40,29.40,23.10,11.40
"066 Inns Quay A, Dublin City",33317.00,29893.00,NA,3.10,19.50,19.90,3.10,38.60,15.70,12.00
"067 Inns Quay B, Dublin City",27000.00,26813.00,0.50,3.30,20.10,22.60,3.00,30.10,20.30,15.10
"068 Inns Quay C, Dublin City",24750.00,27238.00,NA,2.90,21.10,24.00,3.70,24.70,23.70,23.40
"069 Kilmore A, Dublin City",30984.00,35702.00,NA,4.40,17.70,11.90,8.20,32.30,25.50,14.90
"070 Kilmore B, Dublin City",25350.00,30336.00,NA,6.10,15.20,9.80,8.90,30.80,29.20,22.20
"071 Kilmore C, Dublin City",24624.00,24894.00,NA,6.40,13.80,10.30,9.00,27.40,33.00,27.00
"072 Kilmore D, Dublin City",30573.00,35249.00,0.90,4.60,19.70,10.80,8.90,28.10,27.10,8.30
"073 Mountjoy A, Dublin City",24501.00,28938.00,NA,3.10,28.60,27.60,2.90,18.30,19.60,26.90
"074 Mountjoy B, Dublin City",20521.00,23157.00,0.10,4.60,29.90,17.60,3.30,16.30,28.20,20.10
"075 North City, Dublin City",28987.00,31632.00,0.40,1.50,24.30,33.80,2.60,15.10,22.30,10.90
"076 North Dock A, Dublin City",33000.00,35027.00,NA,3.20,22.50,30.80,3.40,24.50,15.60,12.00
"077 North Dock B, Dublin City",36489.00,35784.00,0.20,1.70,27.70,38.20,3.00,15.70,13.50,10.30
"078 North Dock C, Dublin City",38481.00,37177.00,0.40,2.00,28.70,41.20,2.70,14.70,10.20,16.90
"079 Phoenix Park, Dublin City",41028.00,42622.00,0.60,1.60,25.90,28.70,6.70,26.80,9.70,8.40
"080 Priorswood A, Dublin City",28671.00,29056.00,0.90,6.70,15.30,9.70,12.50,24.50,30.40,17.10
"081 Priorswood B, Dublin City",21535.00,23502.00,1.20,6.40,15.80,7.50,14.50,25.30,29.30,35.10
"082 Priorswood C, Dublin City",23303.00,27886.00,NA,5.00,18.10,10.70,8.70,24.00,33.50,28.20
"083 Priorswood D, Dublin City",23721.00,28253.00,0.10,5.90,18.60,9.70,9.10,25.80,30.90,23.20
"084 Priorswood E, Dublin City",28952.00,31285.00,0.20,7.50,15.90,10.50,11.20,24.90,29.80,11.90
"085 Raheny-Foxfield, Dublin City",33524.00,38927.00,NA,4.00,21.40,21.00,4.20,29.10,20.40,5.50
"086 Raheny-Greendale, Dublin City",31876.00,33070.00,0.10,5.40,19.20,19.10,7.40,27.00,22.00,10.90
"087 Raheny-St. Assam, Dublin City",44908.00,47891.00,0.40,1.40,27.90,23.80,5.60,25.50,15.40,3.60
"088 Rotunda A, Dublin City",21400.00,24254.00,NA,4.10,25.10,20.30,2.80,19.00,28.70,21.90
"089 Rotunda B, Dublin City",28049.00,32284.00,NA,2.00,26.20,33.50,3.30,16.30,18.70,21.40
"090 Whitehall A, Dublin City",41059.00,45526.00,0.70,2.10,19.60,22.50,5.30,34.00,15.80,3.70
"091 Whitehall B, Dublin City",34457.00,36891.00,0.40,3.40,18.50,16.10,5.30,36.10,20.30,7.80
"092 Whitehall C, Dublin City",34043.00,36634.00,NA,3.20,18.40,17.20,4.10,32.90,24.10,7.80
"093 Whitehall D, Dublin City",39285.00,39898.00,0.40,2.80,20.40,20.50,4.20,37.00,14.80,8.50
"094 Chapelizod, Dublin City",41083.00,40050.00,0.30,3.10,17.50,23.40,5.20,35.70,14.70,9.30
"095 Cherry Orchard A, Dublin City",25027.00,30576.00,0.10,5.50,15.70,12.30,7.60,29.50,29.40,32.80
"096 Carna, Dublin City",26032.00,28060.00,NA,6.10,16.90,10.00,9.10,27.60,30.30,24.40
"097 Cherry Orchard C, Dublin City",24851.00,25782.00,NA,5.40,20.30,16.80,7.50,20.90,29.10,25.60
"098 Crumlin A, Dublin City",30195.00,31015.00,0.60,4.10,18.30,14.20,7.90,31.10,23.70,14.20
"099 Crumlin B, Dublin City",30765.00,33166.00,0.10,4.40,18.40,16.20,5.00,31.10,24.80,15.20
"100 Crumlin C, Dublin City",32797.00,33940.00,NA,2.30,24.40,22.30,5.40,28.70,17.00,15.90
"101 Crumlin D, Dublin City",32073.00,33426.00,0.40,4.20,16.70,17.70,8.20,31.80,21.00,15.70
